"constituency_no","constituency","name","education","role","image_url"
"46","Gudiyattam","K. Sindhu","M.A, B.Ed, D.T.Ed","Party Administrator","https://d462xg1zgerhx.cloudfront.net/46.jpg"
"47","Vaniyambadi","S. Syed Bhurhanudeen","BCA LLB","Party Administrator","https://d462xg1zgerhx.cloudfront.net/47-1.jpg"
"48","Ambur","P. Imthiyas","MS","Vellore West District Volunteer Wing Organizer","https://d462xg1zgerhx.cloudfront.net/48.jpg"
"49","Jolarpettai","C. Munisamy","","Tiruppathur West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/49-1.jpg"
"50","Tiruppathur (Tiruppathur)","N. Tiruppathi","BVSc","Party Administrator","https://d462xg1zgerhx.cloudfront.net/50.jpg"
"51","Uthangarai","P. Kumaravel","MBA","Youth Wing Deputy Organizer","https://d462xg1zgerhx.cloudfront.net/51.jpg"
"52","Bargur","E. Muralidharan","B.E., LLB","Krishnagiri East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/52.jpg"
"53","Krishnagiri","P. Mukundan","BA, LLB","Krishnagiri Central District Deputy Secretary","https://d462xg1zgerhx.cloudfront.net/53.jpg"
"54","Veppanahalli","S.R. Sampangi","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/54.jpg"
"55","Hosur","S. Vendarkarasan","","Krishnagiri West District","https://d462xg1zgerhx.cloudfront.net/55-1.jpg"
"56","Thali","G. Suresh","","Krishnagiri Central District Party Secretary","https://d462xg1zgerhx.cloudfront.net/56.jpg"
"57","Palacode","R. Gopi","MBA","Dharmapuri West City Treasurer","https://d462xg1zgerhx.cloudfront.net/57e.jpg"
"58","Pennagaram","C. Gajenthiran","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/58-3.jpg"
"59","Dharmapuri","M. Sivan","","Dharmapuri West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/59.jpg"
"60","Pappireddippatti","S. Thilagavathi","MA. B.Ed","District Women's Wiing Organizer","https://d462xg1zgerhx.cloudfront.net/60.jpg"
"61","Harur","K. Rakesh","M.Sc","District Deputy Secretary","https://d462xg1zgerhx.cloudfront.net/61.jpg"
"62","Chengam","K. Bharathidhasan","BA","Thiruvannamalai South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/62-1.jpg"
"63","Tiruvannamallai","A. Arul Arumugam","MCA., MBA","Party Office-bearer","https://d462xg1zgerhx.cloudfront.net/63.jpg"
