"constituency_no","constituency","name","education","role","image_url"
"214","Tuticorin","A. Srinath","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/214.jpg"
"215","Tiruchendur","J. Murugan","BBA","Party Administrator","https://d462xg1zgerhx.cloudfront.net/215-1.jpg"
"216","Tiruvaikundam","G. Saravanan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/216-1.jpg"
"217","Ottapidaram","P. Mathan Raja","B.E","Thoothukudi Suburban District Party Secretary","https://d462xg1zgerhx.cloudfront.net/217.jpg"
"218","Kovilpatti","S. Balasubramanian","ITI","Thoothukudi North District Party Secretary","https://d462xg1zgerhx.cloudfront.net/218.jpg"
"219","Sankarankovil","C. Ramarajan","MCA","Party Administrator","https://d462xg1zgerhx.cloudfront.net/219.jpg"
"220","Vasudevanallur","R. Amutharani","","District Women’s Wing Organizer","https://d462xg1zgerhx.cloudfront.net/220.jpg"
"221","Kadayanallur","R.K. Abdul Jaleel","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/221.jpg"
"222","Tenkasi","A. Rajaprakash","","Tenkasi Central District Party Secretary","https://d462xg1zgerhx.cloudfront.net/222.jpg"
"223","Alangulam","V. Vibin Chakkaravarthy","MBA","Tenkasi South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/223-1.jpg"
"224","Tirunelveli","R.S. Murugan","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/224-1.jpg"
"225","Ambasamudram","S. Rajagopal","","Tirunelveli South District Party Secretary","https://d462xg1zgerhx.cloudfront.net/225.jpg"
"226","Palayamkottai","S. Maria John","","District Joint Secretary","https://d462xg1zgerhx.cloudfront.net/226.jpg"
"227","Nanguneri","V. Narayanan Ex. MLA","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/227.jpg"
"228","Radhapuram","K. Sathish Christopher","MBBS., DNB (General Surgery)","Party Administrator","https://d462xg1zgerhx.cloudfront.net/228.jpg"
"229","Kanyakumari","S.R. Madhavan","DEEE","Kanyakumari East District Party Secretary","https://d462xg1zgerhx.cloudfront.net/229.jpg"
"230","Nagercoil","G. Bervin Kings","","Party Administrator","https://d462xg1zgerhx.cloudfront.net/230-1.jpg"
"231","Colachel","Prem Alex Lawrence","","District Joint Secretary","https://d462xg1zgerhx.cloudfront.net/231.jpg"
"232","Padmanabhapuram","S. Krishnakumar","","Kanyakumari Central District Party Secretary","https://d462xg1zgerhx.cloudfront.net/232.jpg"
"233","Vilavangode","K. Michael Kumar","B.Com LLB","Party Administrator","https://d462xg1zgerhx.cloudfront.net/233.jpg"
"234","Killiyur","S. Sabin","","Kanyakumari West District Party Secretary","https://d462xg1zgerhx.cloudfront.net/234.jpg"
